state,yr,qtr,index_sa
AK,1991,1,100.00
AK,1991,2,100.21
AK,1991,3,101.17
AK,1991,4,101.75
AK,1992,1,102.23
AK,1992,2,103.38
AK,1992,3,103.99
AK,1992,4,104.16
AK,1993,1,104.60
AK,1993,2,106.36
AK,1993,3,107.43
AK,1993,4,110.36
AK,1994,1,110.64
AK,1994,2,110.63
AK,1994,3,111.95
AK,1994,4,111.15
AK,1995,1,114.26
AK,1995,2,115.59
AK,1995,3,116.97
AK,1995,4,117.57
AK,1996,1,120.27
AK,1996,2,120.04
AK,1996,3,119.89
AK,1996,4,123.11
AK,1997,1,123.16
AK,1997,2,123.59
AK,1997,3,124.43
AK,1997,4,125.41
AK,1998,1,125.62
AK,1998,2,127.93
AK,1998,3,128.97
AK,1998,4,130.84
AK,1999,1,131.79
AK,1999,2,132.48
AK,1999,3,133.21
AK,1999,4,130.94
AK,2000,1,133.21
AK,2000,2,135.39
AK,2000,3,136.33
AK,2000,4,136.70
AK,2001,1,139.77
AK,2001,2,142.63
AK,2001,3,145.21
AK,2001,4,148.16
AK,2002,1,148.90
AK,2002,2,151.61
AK,2002,3,155.58
AK,2002,4,156.89
AK,2003,1,160.33
AK,2003,2,162.57
AK,2003,3,164.31
AK,2003,4,170.82
AK,2004,1,175.30
AK,2004,2,177.07
AK,2004,3,182.84
AK,2004,4,187.63
AK,2005,1,193.10
AK,2005,2,197.02
AK,2005,3,204.06
AK,2005,4,207.43
AK,2006,1,211.81
AK,2006,2,215.93
AK,2006,3,217.71
AK,2006,4,219.69
AK,2007,1,222.54
AK,2007,2,226.26
AK,2007,3,223.65
AK,2007,4,221.83
AK,2008,1,217.31
AK,2008,2,223.23
AK,2008,3,221.61
AK,2008,4,225.30
AK,2009,1,225.35
AK,2009,2,216.38
AK,2009,3,214.44
AK,2009,4,215.43
AK,2010,1,215.37
AK,2010,2,219.53
AK,2010,3,223.02
AK,2010,4,220.17
AK,2011,1,225.15
AK,2011,2,224.71
AK,2011,3,223.85
AK,2011,4,224.55
AK,2012,1,217.21
AK,2012,2,226.29
AK,2012,3,226.57
AK,2012,4,228.50
AK,2013,1,230.09
AK,2013,2,232.91
AK,2013,3,233.59
AK,2013,4,234.02
AL,1991,1,100.00
AL,1991,2,101.29
AL,1991,3,102.01
AL,1991,4,102.80
AL,1992,1,104.32
AL,1992,2,104.34
AL,1992,3,106.25
AL,1992,4,107.92
AL,1993,1,109.10
AL,1993,2,109.70
AL,1993,3,111.46
AL,1993,4,112.78
AL,1994,1,114.15
AL,1994,2,115.92
AL,1994,3,116.49
AL,1994,4,117.59
AL,1995,1,118.40
AL,1995,2,119.17
AL,1995,3,120.88
AL,1995,4,121.60
AL,1996,1,122.73
AL,1996,2,124.65
AL,1996,3,125.15
AL,1996,4,126.48
AL,1997,1,127.74
AL,1997,2,127.68
AL,1997,3,129.28
AL,1997,4,129.50
AL,1998,1,130.80
AL,1998,2,132.23
AL,1998,3,133.68
AL,1998,4,135.52
AL,1999,1,136.31
AL,1999,2,137.36
AL,1999,3,138.16
AL,1999,4,139.72
AL,2000,1,141.06
AL,2000,2,141.78
AL,2000,3,142.35
AL,2000,4,142.83
AL,2001,1,144.27
AL,2001,2,145.55
AL,2001,3,146.36
AL,2001,4,147.53
AL,2002,1,148.83
AL,2002,2,149.94
AL,2002,3,150.84
AL,2002,4,153.39
AL,2003,1,154.33
AL,2003,2,156.02
AL,2003,3,158.80
AL,2003,4,159.21
AL,2004,1,160.57
AL,2004,2,163.01
AL,2004,3,166.56
AL,2004,4,168.64
AL,2005,1,171.93
AL,2005,2,174.37
AL,2005,3,178.05
AL,2005,4,183.06
AL,2006,1,187.68
AL,2006,2,191.14
AL,2006,3,193.84
AL,2006,4,196.85
AL,2007,1,198.74
AL,2007,2,201.03
AL,2007,3,200.88
AL,2007,4,201.33
AL,2008,1,199.82
AL,2008,2,198.17
AL,2008,3,195.11
AL,2008,4,192.78
AL,2009,1,193.89
AL,2009,2,192.86
AL,2009,3,187.64
AL,2009,4,195.62
AL,2010,1,186.26
AL,2010,2,182.79
AL,2010,3,181.29
AL,2010,4,176.32
AL,2011,1,172.97
AL,2011,2,171.65
AL,2011,3,172.90
AL,2011,4,173.72
AL,2012,1,177.13
AL,2012,2,180.31
AL,2012,3,177.28
AL,2012,4,181.58
AL,2013,1,181.86
AL,2013,2,184.57
AL,2013,3,186.78
AL,2013,4,188.00
AR,1991,1,100.00
AR,1991,2,100.46
AR,1991,3,101.64
AR,1991,4,103.17
AR,1992,1,103.02
AR,1992,2,103.89
AR,1992,3,104.94
AR,1992,4,105.83
AR,1993,1,107.72
AR,1993,2,109.57
AR,1993,3,111.66
AR,1993,4,111.92
AR,1994,1,115.49
AR,1994,2,116.40
AR,1994,3,117.03
AR,1994,4,119.70
AR,1995,1,119.41
AR,1995,2,121.28
AR,1995,3,123.25
AR,1995,4,123.74
AR,1996,1,124.67
AR,1996,2,125.67
AR,1996,3,125.42
AR,1996,4,126.46
AR,1997,1,127.57
AR,1997,2,127.96
AR,1997,3,128.71
AR,1997,4,129.60
AR,1998,1,130.06
AR,1998,2,129.60
AR,1998,3,132.71
AR,1998,4,133.00
AR,1999,1,134.25
AR,1999,2,135.39
AR,1999,3,136.38
AR,1999,4,137.61
AR,2000,1,137.73
AR,2000,2,140.04
AR,2000,3,140.35
AR,2000,4,141.66
AR,2001,1,143.53
AR,2001,2,143.73
AR,2001,3,145.70
AR,2001,4,146.52
AR,2002,1,147.85
AR,2002,2,150.33
AR,2002,3,151.42
AR,2002,4,153.16
AR,2003,1,155.26
AR,2003,2,157.11
AR,2003,3,160.25
AR,2003,4,161.95
AR,2004,1,165.35
AR,2004,2,167.89
AR,2004,3,170.39
AR,2004,4,173.50
AR,2005,1,176.10
AR,2005,2,178.54
AR,2005,3,182.04
AR,2005,4,185.70
AR,2006,1,188.16
AR,2006,2,190.53
AR,2006,3,191.83
AR,2006,4,193.33
AR,2007,1,193.72
AR,2007,2,195.66
AR,2007,3,195.24
AR,2007,4,194.81
AR,2008,1,191.56
AR,2008,2,189.63
AR,2008,3,189.01
AR,2008,4,186.57
AR,2009,1,185.02
AR,2009,2,184.64
AR,2009,3,185.24
AR,2009,4,190.80
AR,2010,1,178.72
AR,2010,2,184.12
AR,2010,3,178.72
AR,2010,4,176.47
AR,2011,1,178.21
AR,2011,2,174.30
AR,2011,3,176.63
AR,2011,4,180.93
AR,2012,1,180.58
AR,2012,2,184.36
AR,2012,3,183.92
AR,2012,4,185.75
AR,2013,1,188.52
AR,2013,2,189.71
AR,2013,3,190.44
AR,2013,4,186.67
AZ,1991,1,100.00
AZ,1991,2,100.34
AZ,1991,3,99.29
AZ,1991,4,101.49
AZ,1992,1,102.13
